title,address,price
Capital O 19487 Hr Residency,"Near Poo Market Busstop, R.S. Puram, Coimbatore",₹1426
OYO 68201 Hotel Singapore International,"Near Cross Cut, Gandhipuram, Coimbatore",₹1842
OYO 49167 Uv Residency,"Near Airport, 20 Paris Nagar, Coimbatore",₹1857
OYO Flagship 36422 Hotel Maruthi Gandhi Park,"Near Railway station, Gandhi Park, Coimbatore",₹1216
Capital O 37664 Hotel Grand Plaza,"Near COIMBATORE RAILWAY STN, Gopalapuram, Coimbatore",₹1552
SPOT ON 80337 Kota Lodge,"Near Railway Station, Raja Street, Town Hall",₹700
SPOT ON 42738 Thangam Lodge,"Near SBI Bank, 100 ft road, Coimbatore",₹599
OYO 43978 Nini Residency,"CODISSIA BACKSIDE, TEX PARK ROAD,COIMBATORE",₹749
OYO 43975 Honey Residency,"TEX Park Road, Near Airport, Coimbatore",₹949
OYO 10551 Hotel RJ Grand,"Near RS Puram Post Office, RS Puram, Coimbatore",₹1528
OYO 15427 Hotel Apple Grand,"Near Kala stores, 100 Feet Road, Coimbatore",₹2031
OYO 79641 Collection O Kota Hotels Town Hall,"Near Railway Station, Raja Street, Town Hall",Sold Out
"OYO Flagship 65949 3D Residency, Ganapathy.","Near railway station, Ganapathypudur, Coimbatore",Sold Out
